FID,OBJECTID,River_Stat,Node_Descr,X,Y,Z
0,1,49455.79,XS850,6570468.121229999700000,1881034.384890000100000,404.7300110
1,2,48517.74,XS840,6570186.032220000400000,1880216.190010000000000,396.3689880
2,3,48126.24,XS837,6570167.938099999900000,1879820.218360000100000,395.9219971
3,4,48006.88,XS836,6570141.812819999600000,1879703.429880000000000,395.6350098
4,5,47901.87,XS835,6570114.027449999900000,1879601.381520000100000,395.4920044
5,6,47881.87,"XS834, Duplicate of XS835",6570108.192809999900000,1879582.697510000100000,395.4779968
6,7,47567.57,XS832,6569969.287910000400000,1879291.139359999900000,395.0539856
7,8,47475.38,XS830,6569874.600100000400000,1879245.720819999900000,393.6099854
8,9,46992.66,XS825,6569643.250500000100000,1878844.904360000000000,388.0209961
9,10,46673.17,XS820,6569530.827170000400000,1878543.067700000000000,387.2139893
10,11,46379.00,XS815,6569556.805789999700000,1878205.430579999900000,385.4370117
11,12,46071.09,XS805,6569850.709730000200000,1878020.996560000100000,380.1619873
12,13,45747.67,XS800,6569934.197750000300000,1877643.274220000000000,379.0150146
13,14,45413.06,XS790,6569679.739269999800000,1877410.174949999900000,374.0580139
14,15,45153.54,XS780,6569526.556180000300000,1877202.520509999900000,372.1740112
15,16,44794.41,XS775,6569488.057570000200000,1876827.355900000100000,369.5939941
16,17,44538.61,XS770,6569370.372109999900000,1876601.578470000100000,369.4379883
17,18,44369.02,XS765,6569249.310999999800000,1876482.673849999900000,369.1239929
18,19,43993.74,XS760,6568993.903699999700000,1876237.125790000000000,364.5910034
19,20,43733.24,XS750,6569062.852380000100000,1875867.687880000100000,361.0809937
20,21,43151.32,XS740,6568724.379959999600000,1875412.229140000000000,360.0769958
21,23,40661.62,XS720,6566673.335839999800000,1874849.607240000000000,336.1979980
22,22,41927.94,XS730,6567844.020170000400000,1874593.646789999900000,349.1780090
23,24,39776.58,XS710,6565873.704889999700000,1874468.084379999900000,331.2579956
24,25,38778.84,XS705,6565089.127059999900000,1873818.815660000100000,327.5100098
25,26,38609.42,XS704,6564920.036519999600000,1873796.660850000100000,325.8959961
26,27,38541.34,XS703,6564828.380210000100000,1873873.585570000100000,324.6549988
27,28,37959.16,XS700,6564264.567689999900000,1873749.172100000100000,321.6380005
28,29,36991.87,"XS690, LB levee breached upstream from section",6563313.295640000100000,1873779.436479999900000,310.5459900
29,30,35985.45,XS680,6562732.134730000000000,1873004.641439999900000,304.7009888
30,31,35342.82,XS670,6562094.864679999600000,1872951.709460000000000,302.3099976
31,32,34543.20,"XS660, Right Bank is Ineffective Beyond Section Limit",6561366.966529999900000,1872628.492580000100000,299.5419922
32,33,33974.10,XS650,6560809.920400000200000,1872468.898090000000000,294.1640015
33,34,32795.78,XS640,6559636.678319999900000,1872490.564049999900000,287.1119995
34,35,32709.44,"XS635, U/S limit of lateral weir for L Levee spills",6559567.729969999800000,1872438.394540000000000,286.6549988
35,41,31147.14,XS600,6558258.250629999700000,1872448.346290000000000,276.0639954
36,42,30603.55,XS590,6557717.879990000300000,1872401.164949999900000,273.7489929
37,36,32521.01,"XS630, Right Bank is ineffective beyond section",6559440.223989999900000,1872281.240329999900000,286.2999878
38,39,31557.82,XS607,6558528.041100000000000,1872157.413800000000000,280.6740112
39,40,31388.77,XS603,6558484.148149999800000,1872342.275960000000000,279.3460083
40,43,30460.96,"XS580, U/S face of Red Brg, D/S limit of lateral weir for L Levee spill",6557605.216180000500000,1872323.897060000100000,273.6010132
41,44,30422.59,XS570,6557567.996439999900000,1872303.366590000000000,273.5539856
42,45,30344.95,"XS565, upstream limit of lateral weirs for levee spills",6557491.585169999900000,1872298.991930000000000,273.4609985
43,46,30151.04,XS560,6557286.202709999900000,1872276.655360000000000,271.2900085
44,37,32069.04,XS620,6559052.470499999800000,1872043.372030000000000,284.9509888
45,38,31683.29,XS610,6558648.504449999900000,1872087.490710000000000,281.2200012
46,47,29767.44,XS555,6556953.621349999700000,1872072.647889999900000,270.7569885
47,48,29433.32,XS550,6556736.267459999800000,1871814.089029999900000,270.5750122
48,49,29303.48,XS548,6556638.746000000300000,1871711.645010000100000,270.3710022
49,50,29119.72,XS546,6556478.479589999700000,1871608.588130000000000,268.6010132
50,52,28546.56,XS540,6555899.624119999800000,1871636.797390000000000,268.1919861
51,53,28207.94,XS530,6555552.514569999700000,1871594.054360000000000,263.2099915
52,54,28008.65,XS520,6555357.742979999600000,1871653.629380000100000,261.8880005
53,51,28812.80,XS544,6556166.886049999900000,1871538.421930000000000,268.4869995
54,55,27134.85,XS510,6554658.944840000000000,1871274.218060000100000,258.4779968
55,56,26382.36,"XS500, Downstream limit of lateral weirs for levee spills",6553961.488880000100000,1870968.808570000100000,251.4029999
56,57,25833.18,XS490,6553533.383109999800000,1870625.174739999900000,251.1089935
57,58,24995.08,XS486-Riffle,6552948.930209999900000,1870021.379690000100000,247.8600006
58,60,24246.69,"XS470, Left bank ineffective for contraction into structure",6552270.328549999700000,1869820.527730000000000,247.4409943
59,61,24058.89,"XS467, Overbanks ineffective for contraction into structure",6552085.281019999600000,1869839.122509999900000,244.5000000
60,62,23998.85,XS465,6552025.438950000300000,1869833.492920000100000,239.5019989
61,59,24552.09,XS480,6552573.266599999700000,1869784.108839999900000,247.5760040
62,63,23586.70,XS460,6551622.923349999800000,1869728.260850000000000,233.3170013
63,64,23158.72,XS450,6551616.002430000300000,1869284.764690000100000,232.7980042
64,65,22138.92,XS440,6551144.088680000000000,1868358.458140000000000,229.4880066
65,66,21380.65,XS430,6550665.127369999900000,1867804.871000000000000,226.3820038
66,67,21263.12,XS427,6550592.662290000400000,1867708.719289999900000,225.0110016
67,68,21129.47,XS423,6550484.441709999900000,1867630.342800000000000,224.9259949
68,69,21006.98,XS420,6550384.445190000300000,1867557.356070000000000,224.4880066
69,70,20854.61,XS417-Riffle,6550269.660640000400000,1867456.187310000000000,224.3789978
70,71,20751.07,XS416-Riffle,6550192.291699999900000,1867387.996169999900000,224.3489990
71,72,20713.93,XS415,6550164.067669999800000,1867363.907640000100000,224.3359985
72,73,20655.29,XS413-Riffle,6550117.091389999700000,1867330.756460000100000,224.2310028
73,74,20538.60,XS411-Riffle,6550015.021710000000000,1867269.237550000000000,224.0610046
74,75,20505.51,XS410,6549986.629710000000000,1867252.125380000100000,224.0260010
75,76,20402.39,XS400,6549880.095470000100000,1867220.064749999900000,223.4519958
76,77,20037.72,"XS390, Left Bank Swale ineffective due to levee",6549492.259630000200000,1867017.045470000000000,221.4689941
77,78,19382.75,XS380,6549499.152669999700000,1866342.775170000000000,218.8679962
78,79,19157.88,XS370,6549469.109419999600000,1866114.900949999900000,218.5899963
79,80,18704.65,XS360,6549312.028370000400000,1865699.767599999900000,218.1250000
80,81,17937.05,XS350,6549106.536320000000000,1864908.889580000000000,214.4589996
81,82,17126.09,XS340,6548274.871980000300000,1864803.479689999900000,210.1009979
82,83,17085.47,XS339-Riffle,6548236.089569999800000,1864783.305849999900000,209.9329987
83,84,17051.13,XS338-Riffle,6548206.436420000200000,1864767.880679999900000,209.5070038
84,85,17024.89,XS337-Riffle,6548186.755029999700000,1864757.642840000100000,209.4409943
85,86,16976.30,XS336-Riffle,6548138.032680000200000,1864742.183220000000000,209.4049988
86,87,16938.36,XS335-Riffle,6548098.744049999900000,1864730.547749999900000,209.3990021
87,88,16866.33,XS334-Riffle,6548026.332449999600000,1864709.102579999900000,209.3880005
88,89,16142.45,XS332-Riffle,6547432.623010000200000,1864348.140050000000000,208.3309937
89,90,16072.75,XS330,6547426.969800000100000,1864301.183119999900000,208.2599945
90,91,15514.56,XS320,6546958.193839999800000,1864060.348960000100000,205.1219940
91,92,15305.14,XS310,6546732.922629999900000,1864045.522219999900000,204.9100037
92,93,15209.28,XS300,6546639.308319999800000,1864028.378880000000000,204.8099976
93,94,14876.08,XS290,6546326.911960000200000,1863949.077529999900000,204.1719971
94,95,14469.01,XS280,6545940.374020000000000,1863804.516790000000000,201.9380035
95,96,14118.71,XS270,6545590.643749999800000,1863649.137510000000000,201.9329987
96,97,13597.00,XS260,6545336.035659999600000,1863181.001639999900000,199.7500000
97,98,13368.78,XS250,6545329.599320000000000,1862916.699010000100000,199.3220062
98,99,13148.16,XS240,6545220.856429999700000,1862700.174189999900000,198.9649963
99,100,12721.21,XS230,6545110.529880000300000,1862343.383560000000000,196.1710052
100,101,12525.89,XS220,6545190.067780000200000,1862156.259589999900000,195.6119995
101,102,12338.61,XS210,6545110.169649999600000,1861941.881409999900000,194.2539978
102,103,12285.86,XS200,6545066.702209999800000,1861912.797480000000000,194.2250061
103,104,12224.57,XS190,6545011.466099999800000,1861883.894320000000000,194.1950073
104,105,12071.79,XS180,6544855.033020000000000,1861914.014340000000000,193.5829926
105,106,11827.81,XS170,6544606.863570000000000,1861927.341740000100000,191.9499969
106,107,11568.50,XS160,6544342.257140000400000,1861925.604540000000000,191.6419983
107,108,10945.80,XS150,6543748.386280000200000,1861697.776260000000000,190.1170044
108,0,11314.55, ,6544095.129209999900000,1861857.235589999900000,190.8540039
109,0,9164.27, ,6542424.515130000200000,1861381.653020000100000,184.5160065
110,109,10494.17,XS140,6543544.129800000200000,1861304.267530000100000,190.0540009
111,112,8769.12,"XS120, ineffective beyond right limit of section",6542080.678000000300000,1861149.527350000100000,184.5030060
112,0,9567.87, ,6542784.407460000400000,1861143.939990000100000,186.8379974
113,110,10061.29,XS135,6543245.098899999600000,1860978.539510000000000,187.6040039
114,111,9896.99,XS130,6543031.555689999800000,1860914.934320000000000,187.6790009
115,113,8060.40,"XS110, ineffective beyond right limit of section",6541464.756330000200000,1860738.287689999900000,181.1190033
116,114,7142.01,XS100,6541550.385750000400000,1859747.194530000000000,179.4060059
117,115,6682.79,XS90,6541306.460060000400000,1859360.599830000000000,177.4440002
118,116,6313.16,XS80,6541030.893360000100000,1859107.278810000000000,177.2969971
119,117,6005.99,"XS70, ineffective beyond left limit of section",6540768.330230000400000,1858948.932670000000000,177.1510010
120,118,5157.79,XS60,6539955.947340000400000,1858866.095900000100000,175.9239960
121,119,4223.57,"XS50, ineffective beyond x-section limits",6539420.934630000000000,1858233.910480000100000,174.4550018
122,120,2984.47,"XS40, ineffective beyond x-section limits",6538360.763199999900000,1857529.211100000000000,171.6300049
123,121,2081.42,"XS30, ineffective beyond x-section limits",6538985.043770000300000,1856727.931210000100000,170.7109985
124,122,1572.11,"XS20, ineffective beyond x-section limits",6538696.569280000400000,1856376.397790000100000,170.6809998
125,123,797.46,"XS10, ineffective beyond x-section limits",6538578.327390000200000,1855663.987140000100000,170.3780060